Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
DeAndre Carter;WR;Bears;;UFA;12.1%;32;$1,200,000;$450,000
Ben Cleveland;RG;Ravens;;UFA;4.4%;27;$1,196,796;$865,840
Elijah Molden;CB;Chargers;;UFA;69.5%;26;$1,196,463;$840,616
Rock Ya-Sin;CB;49ers;;UFA;5.8%;29;$1,196,250;$0
Krys Barnes;LB;Cardinals;;UFA;18.9%;27;$1,192,500;$0
Robert Hainsey;RT;Buccaneers;;UFA;8.3%;27;$1,191,981;$855,544
Larrell Murchison;EDGE;Rams;;UFA;0.0%;28;$1,175,000;$50,000
Cam Akers;RB;Vikings;;UFA;25.4%;26;$1,175,000;$0
Matt Pryor;RG;Bears;;UFA;88.6%;31;$1,175,000;$50,000
Ifeatu Melifonwu;CB;Lions;;UFA;12.5%;26;$1,172,558;$840,616
Ernest Jones;LB;Seahawks;;UFA;89.9%;26;$1,171,339;$840,616
Brandon Stephens;CB;Ravens;;UFA;92.4%;28;$1,170,433;$840,616
Baron Browning;EDGE;Cardinals;;UFA;34.0%;26;$1,168,944;$840,616
Jeff Driskel;QB;Commanders;;UFA;0.1%;32;$1,150,000;$150,000
Dan Skipper;LT;Lions;;UFA;28.2%;31;$1,150,000;$0
Reid Ferguson;LS;Bills;;UFA;33.2%;31;$1,147,500;$5,000
Tyler Johnson;WR;Rams;;UFA;33.1%;27;$1,130,000;$75,000
Adam Prentice;FB;Saints;;UFA;25.0%;28;$1,130,000;$0
Jack Driscoll;RT;Eagles;;UFA;9.5%;28;$1,125,000;$0
Shaquille Quarterman;LB;Chargers;;UFA;0.0%;28;$1,125,000;$0
Tyler Huntley;QB;Dolphins;;UFA;27.6%;27;$1,125,000;$0
Kristian Welch;FB;Ravens;;UFA;4.6%;27;$1,125,000;$0
Bryce Hall;CB;Buccaneers;;UFA;1.5%;28;$1,125,000;$0
Justin Herron;RT;Saints;;UFA;0.0%;30;$1,125,000;$0
Khaleke Hudson;LB;Browns;;UFA;1.1%;28;$1,125,000;$0
Teair Tart;IDL;Chargers;;UFA;31.8%;28;$1,125,000;$0
Myles Bryant;CB;Texans;;UFA;6.3%;27;$1,125,000;$0
Charlie Heck;RT;49ers;;UFA;10.8%;29;$1,125,000;$0
Hakeem Adeniji;LT;Browns;;UFA;0.0%;28;$1,125,000;$0
Elijah Riley;S;Giants;;UFA;0.0%;27;$1,125,000;$0
James Pierre;CB;Steelers;;UFA;18.9%;29;$1,125,000;$0
James Proche;WR;Browns;;UFA;1.4%;29;$1,125,000;$0
Gunner Olszewski;WR;Giants;;UFA;0.0%;29;$1,125,000;$467,500
Mykal Walker;LB;Commanders;;UFA;7.1%;28;$1,125,000;$0
Calvin Anderson;LT;Steelers;;UFA;1.0%;29;$1,125,000;$0
Josh Woods;LB;Falcons;;UFA;0.0%;29;$1,125,000;$0
Jackson Barton;LT;Cardinals;;UFA;14.3%;30;$1,125,000;$0
Zeke Turner;LB;Lions;;UFA;10.1%;29;$1,125,000;$0
Demone Harris;IDL;Falcons;;UFA;19.4%;30;$1,125,000;$0
Brett Rypien;QB;Vikings;;UFA;0.0%;29;$1,125,000;$0
Mike Boone;RB;Panthers;;UFA;4.1%;30;$1,125,000;$0
Tim Boyle;QB;Giants;;UFA;7.5%;31;$1,125,000;$0
Jeremy McNichols;RB;Commanders;;UFA;21.6%;30;$1,125,000;$0
Mike Ford;CB;Browns;;UFA;5.4%;30;$1,125,000;$0
Ryan Neal;S;Buccaneers;;UFA;1.5%;30;$1,125,000;$0
Nick Gates;C;Eagles;;UFA;8.3%;30;$1,125,000;$0
Sam Mustipher;C;Chargers;;UFA;9.8%;29;$1,125,000;$0
Tony Brown;WR;Browns;;UFA;0.0%;30;$1,125,000;$0
Ben Niemann;LB;Lions;;UFA;16.3%;30;$1,125,000;$0
Greg Joseph;K;Jets;;UFA;15.7%;31;$1,125,000;$0
Carlos Watkins;IDL;Cowboys;;UFA;20.7%;32;$1,125,000;$0
Sam Eguavoen;LB;Jets;;UFA;6.5%;32;$1,125,000;$0
Lonnie Johnson Jr.;S;Panthers;;UFA;2.9%;30;$1,125,000;$0
Ugochukwu Amadi;CB;Saints;;UFA;44.7%;28;$1,125,000;$0
Mecole Hardman;WR;Chiefs;;UFA;10.0%;27;$1,125,000;$0
David Long;CB;Colts;;UFA;0.8%;29;$1,125,000;$0
Irv Smith Jr.;TE;Texans;;UFA;7.7%;27;$1,125,000;$0
Oshane Ximines;EDGE;Patriots;;UFA;1.3%;29;$1,125,000;$0
Mike Edwards;S;Buccaneers;;UFA;17.1%;29;$1,125,000;$0
Will Grier;QB;Cowboys;Cowboys;Signed;0.0%;30;$1,170,000;$0
Kendall Sheffield;CB;Jets;;UFA;8.0%;29;$1,125,000;$0
Amani Oruwariye;CB;Cowboys;;UFA;25.9%;29;$1,125,000;$0
Ty Summers;LB;Giants;;UFA;10.2%;30;$1,125,000;$0
Byron Cowart;IDL;Bears;;UFA;31.4%;29;$1,125,000;$0
Austin Seibert;K;Commanders;;UFA;24.4%;29;$1,125,000;$0
Andre Dillard;LT;Packers;;UFA;1.2%;30;$1,125,000;$0
Trayveon Williams;RB;Bengals;;UFA;0.9%;28;$1,125,000;$0
Daniel Jones;QB;Vikings;;UFA;60.2%;28;$1,125,000;$0
Devin White;LB;Texans;;UFA;16.1%;27;$1,125,000;$0
Armon Watts;IDL;Giants;;UFA;7.9%;29;$1,125,000;$0
Ben Bartch;LT;49ers;;UFA;6.0%;27;$1,125,000;$0
Matt Dickerson;IDL;Dolphins;;UFA;1.4%;30;$1,125,000;$0
Carl Lawson;EDGE;Cowboys;;UFA;36.3%;30;$1,125,000;$0
Adrian Colbert;S;Bears;;UFA;0.0%;32;$1,125,000;$0
Hayden Hurst;TE;Chargers;;UFA;16.3%;32;$1,125,000;$0
Tim Patrick;WR;Lions;;UFA;55.9%;32;$1,125,000;$0
Pat O'Connor;EDGE;Lions;;UFA;21.5%;32;$1,125,000;$0
C.J. Henderson;CB;Steelers;;UFA;0.0%;27;$1,125,000;$0
K'Lavon Chaisson;EDGE;Raiders;;UFA;45.6%;26;$1,125,000;$0
Jalen Reagor;WR;Chargers;;UFA;12.9%;26;$1,125,000;$0
Julian Okwara;EDGE;Cardinals;;UFA;26.3%;28;$1,125,000;$0
Bradley Bozeman;C;Chargers;;UFA;99.1%;31;$1,125,000;$0
Zane Gonzalez;K;Commanders;;UFA;12.6%;30;$1,125,000;$0
Neville Gallimore;IDL;Rams;;UFA;23.7%;28;$1,125,000;$0
Corey Levin;C;Titans;;UFA;12.2%;31;$1,125,000;$0
Josiah Deguara;TE;Jaguars;;UFA;8.4%;28;$1,125,000;$0
Al-Quadin Muhammad;EDGE;Lions;;UFA;23.3%;30;$1,125,000;$0
Darnay Holmes;CB;Raiders;;UFA;26.7%;27;$1,125,000;$0
Joshua Kelley;RB;Titans;;UFA;0.4%;28;$1,125,000;$0
Craig Reynolds;RB;Lions;;RFA;8.4%;29;$1,125,000;$0
Dante Pettis;WR;Saints;;UFA;13.6%;30;$1,125,000;$0
Troy Reeder;LB;Rams;;UFA;33.4%;31;$1,125,000;$75,000
Luke Gifford;LB;Titans;;UFA;19.2%;30;$1,125,000;$0
Darius Harris;LB;Cowboys;Cowboys;Signed;0.0%;29;$1,170,000;$0
D'Onta Foreman;RB;Browns;;UFA;16.5%;29;$1,125,000;$0
Raekwon McMillan;LB;Titans;;UFA;23.8%;29;$1,125,000;$0
